d,Method,Distortion
23,estimate_spherical_subspace_dai,58342.81067248259
23,estimate_spherical_subspace_pga,57932.41031199808
23,estimate_spherical_subspace_pga_2,57927.687030745125
24,estimate_spherical_subspace,58098.91801029861
24,estimate_spherical_subspace_liu,58100.08868957038
24,estimate_spherical_subspace_dai,58315.452836042634
24,estimate_spherical_subspace_pga,57870.789038492476
24,estimate_spherical_subspace_pga_2,57870.60300075053
25,estimate_spherical_subspace,58103.93643628987
25,estimate_spherical_subspace_liu,58104.83756442761
25,estimate_spherical_subspace_dai,58241.72934572335
25,estimate_spherical_subspace_pga,57883.03030237157
25,estimate_spherical_subspace_pga_2,57883.04822494855
26,estimate_spherical_subspace,58062.023973292315
26,estimate_spherical_subspace_liu,58061.23753125488
26,estimate_spherical_subspace_dai,58206.54414595942
26,estimate_spherical_subspace_pga,57821.16007944312
26,estimate_spherical_subspace_pga_2,57821.19670162012
27,estimate_spherical_subspace,58065.55530612418
27,estimate_spherical_subspace_liu,58065.36207166042
27,estimate_spherical_subspace_dai,58151.18687942655
27,estimate_spherical_subspace_pga,57855.909270338656
27,estimate_spherical_subspace_pga_2,57850.67163571567
28,estimate_spherical_subspace,58034.00276894743
28,estimate_spherical_subspace_liu,58033.44140585055
28,estimate_spherical_subspace_dai,58129.644775262066
28,estimate_spherical_subspace_pga,57837.49084483789
28,estimate_spherical_subspace_pga_2,57834.94098941081
29,estimate_spherical_subspace,58013.52869718014
29,estimate_spherical_subspace_liu,58014.628372963605
29,estimate_spherical_subspace_dai,58064.74268009225
29,estimate_spherical_subspace_pga,57830.393758309685
29,estimate_spherical_subspace_pga_2,57830.82036961437
